"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","HUSB238","","","","Lexi's KiCad Footprints:Adafruit HUSB238 USB-C PD Breakout",""
"C1","1","1uF","","","","","~"
"C2","1","0.1uF","","","","","~"
"R1","1","240","","","","","~"
"R2","1","390","","","","","~"
"RV1","1","3314J-1-471E","","","","","~"
"SW1","1","MISSILE_SW","","","","","~"
"SW2","1","KEY_SW","","","","","~"
"SW3","1","RGB_B","","","","",""
"U1","1","~","","","","",""
"U2","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
